source_id,url,source_title,publisher,source_category,expected_use,source_quality
S036,https://apnews.com/search?q=Iran%20Al%20Udeid%20Qatar%20June%2023%202025,AP search on Al Udeid retaliation,Associated Press,wire_news,retaliation,discovery_or_index
S037,https://apnews.com/search?q=Iran%20Khamenei%20US%20attacks%20June%2026%202025,AP search on Khamenei comments,Associated Press,wire_news,iran_position,discovery_or_index
S038,https://apnews.com/search?q=Iran%20nuclear%20damage%20assessment%20June%202025,AP search on damage assessment,Associated Press,wire_news,damage_assessment,discovery_or_index
S039,https://apnews.com/search?q=Iran%20radiation%20IAEA%20Fordow%20Natanz%20Isfahan,AP search on radiation and IAEA,Associated Press,wire_news,nuclear_safety,discovery_or_index
S040,https://apnews.com/search?q=Iran%20Israel%20ceasefire%20June%2024%202025,AP search on ceasefire,Associated Press,wire_news,ceasefire,discovery_or_index
S041,https://www.bbc.com/news/articles/cvg9r4q99g4o,BBC on what is known about U.S. strikes,BBC,international_news,strike_details,substantive_article_or_document
S042,https://www.bbc.com/news/articles/cew0x7159edo,BBC on how U.S. says it hit nuclear sites,BBC,international_news,strike_details,substantive_article_or_document
S043,https://www.bbc.com/news/articles/cdjxdgjpd48o,BBC on Iran attack on U.S. base in Qatar,BBC,international_news,retaliation,substantive_article_or_document
S044,https://www.bbc.com/news/articles/ckglxwp5x03o,BBC on intelligence assessment,BBC,international_news,damage_assessment,substantive_article_or_document
S045,https://www.bbc.com/news/articles/c3vdpeq606do,BBC on 24 hours leading to ceasefire,BBC,international_news,ceasefire,substantive_article_or_document
S046,https://www.bbc.com/news/topics/c8nq32jw3r8t,BBC Iran topic page,BBC,international_news,background,discovery_or_index
S047,https://www.bbc.com/news/topics/c302m85q5v3t,BBC Middle East topic page,BBC,international_news,background,discovery_or_index
S048,https://www.npr.org/2025/06/23/g-s1-74059/iran-attack-us-bases-iraq-qatar,NPR on Iran attack against U.S. base,NPR,international_news,retaliation,substantive_article_or_document
S049,https://www.cbsnews.com/search/?q=Iran%20nuclear%20sites%20June%202025,CBS search on Iran nuclear sites,CBS News,international_news,damage_assessment,discovery_or_index
S050,https://www.pbs.org/newshour/search-results?q=Iran%20nuclear%20sites%20June%202025,PBS NewsHour search on Iran nuclear sites,PBS NewsHour,international_news,background,discovery_or_index
S051,https://www.aljazeera.com/news/2025/6/22/everlasting-consequences-world-reacts-to-us-attacks-on-iran,Al Jazeera on world reactions to U.S. attacks,Al Jazeera,regional_news,regional_reaction,substantive_article_or_document
S052,https://www.aljazeera.com/news/2025/6/22/us-joins-israel-in-attacks-against-iran-strikes-key-nuclear-sites,Al Jazeera on U.S. joining attacks,Al Jazeera,regional_news,strike_details,substantive_article_or_document
S053,https://www.aljazeera.com/news/2025/6/23/what-have-countries-said-about-irans-strike-on-a-us-base-in-qatar,Al Jazeera on reactions to Iran strike on Qatar base,Al Jazeera,regional_news,regional_reaction,substantive_article_or_document
S054,https://www.aljazeera.com/news/2025/6/23/iran-attacks-us-air-base-in-qatar-what-we-know-so-far,Al Jazeera on Iran attack on Al Udeid,Al Jazeera,regional_news,retaliation,substantive_article_or_document
S055,https://www.aljazeera.com/news/liveblog/2025/6/23/live-iran-vows-to-respond-to-us-attacks-trump-hints-at-regime-change,Al Jazeera live updates on ceasefire sequence,Al Jazeera,regional_news,ceasefire,substantive_article_or_document
S056,https://www.al-monitor.com/search?keyword=Iran%20US%20strikes%20June%202025,Al-Monitor search on Iran U.S. strikes,Al-Monitor,regional_news,regional_context,discovery_or_index
S057,https://www.timesofisrael.com/search/?q=Iran%20US%20strikes%20June%202025,Times of Israel search on Iran U.S. strikes,Times of Israel,regional_news,israel_position,discovery_or_index
S058,https://www.jpost.com/tags/iran-nuclear-program,Jerusalem Post Iran nuclear program tag,Jerusalem Post,regional_news,israel_position,discovery_or_index
S059,https://www.thenationalnews.com/search/?q=Iran%20US%20strikes%20Qatar%20June%202025,The National search on Iran U.S. Qatar,The National,regional_news,gulf_reaction,discovery_or_index
S060,https://www.arabnews.com/search/site/Iran%20US%20strikes%20June%202025,Arab News search on Iran U.S. strikes,Arab News,regional_news,gulf_reaction,discovery_or_index
S061,https://www.tehrantimes.com/search?search=US%20strikes%20Iran%20June%202025,Tehran Times search on U.S. strikes,Tehran Times,regional_news,iran_position,discovery_or_index
S062,https://www.presstv.ir/Search/Section/1504?query=US%20strikes%20Iran%20nuclear%20sites,Press TV search on U.S. strikes,Press TV,regional_news,iran_position,discovery_or_index
S063,https://www.irna.ir/search?q=US%20strikes%20Iran%20nuclear%20sites,IRNA search on U.S. strikes,IRNA,regional_news,iran_position,discovery_or_index
S064,https://www.tasnimnews.com/en/search?query=Al%20Udeid%20Iran%20missile,Tasnim search on Al Udeid missile attack,Tasnim,regional_news,iran_position,discovery_or_index
S065,https://www.qna.org.qa/en/search?q=Al%20Udeid%20Iran%20missile,Qatar News Agency search on Al Udeid,QNA,regional_news,qatar_position,discovery_or_index
S066,https://www.csis.org/analysis/what-operation-midnight-hammer-means-future-irans-nuclear-ambitions,CSIS on Operation Midnight Hammer and nuclear ambitions,CSIS,think_tank,nuclear_analysis,substantive_article_or_document
S067,https://www.csis.org/analysis/csis-satellite-imagery-analysis-reveals-possible-signs-renewed-nuclear-activity-iran,CSIS satellite imagery analysis after strikes,CSIS,think_tank,nuclear_analysis,substantive_article_or_document
S068,https://nuclearnetwork.csis.org/disruption-or-dismantlement-diverging-assessments-of-iran-nuclear-strikes/,CSIS Nuclear Network on diverging assessments,CSIS Nuclear Network,think_tank,damage_assessment,substantive_article_or_document
S069,https://www.csis.org/analysis/damage-irans-nuclear-program-can-it-rebuild,CSIS on whether Iran nuclear program can rebuild,CSIS,think_tank,nuclear_analysis,substantive_article_or_document
S070,https://www.csis.org/analysis/trump-may-seize-irans-nuclear-stockpile-why-airstrikes-alone-arent-enough,CSIS on stockpile risk after strikes,CSIS,think_tank,nuclear_analysis,substantive_article_or_document
S071,https://www.brookings.edu/articles/the-road-to-the-israel-iran-war/,Brookings on road to Israel-Iran war,Brookings,think_tank,background,substantive_article_or_document
S072,https://iranprimer.usip.org/index.php/blog/2025/jul/07/timeline-us-iran-nuclear-talks,USIP Iran Primer timeline of U.S.-Iran nuclear talks,USIP Iran Primer,think_tank,diplomatic_context,substantive_article_or_document
S073,https://www.cfr.org/search?keyword=Iran%20US%20strikes%20June%202025,CFR search on Iran U.S. strikes,Council on Foreign Relations,think_tank,analysis,discovery_or_index
S074,https://www.chathamhouse.org/search?query=Iran%20US%20strikes%20June%202025,Chatham House search on Iran U.S. strikes,Chatham House,think_tank,analysis,discovery_or_index
S075,https://www.iiss.org/search/?query=Iran%20US%20strikes%20June%202025,IISS search on Iran U.S. strikes,IISS,think_tank,security_analysis,discovery_or_index
S076,https://www.atlanticcouncil.org/?s=Iran+US+strikes+June+2025,Atlantic Council search on Iran U.S. strikes,Atlantic Council,think_tank,analysis,substantive_article_or_document
S077,https://www.wilsoncenter.org/search?search=Iran%20US%20strikes%20June%202025,Wilson Center search on Iran U.S. strikes,Wilson Center,think_tank,analysis,discovery_or_index
S078,https://www.stimson.org/?s=Iran+US+strikes+June+2025,Stimson Center search on Iran U.S. strikes,Stimson Center,think_tank,analysis,substantive_article_or_document
S079,https://carnegieendowment.org/search?query=Iran%20US%20strikes%20June%202025,Carnegie search on Iran U.S. strikes,Carnegie Endowment,think_tank,analysis,discovery_or_index
S080,https://www.rand.org/search.html?query=Iran%20US%20strikes%20June%202025,RAND search on Iran U.S. strikes,RAND,think_tank,analysis,discovery_or_index
S081,https://www.cnbc.com/search/?query=Strait%20of%20Hormuz%20Iran%20US%20strikes%20June%202025,CNBC search on Strait of Hormuz and shipping,CNBC,market_news,energy_shipping,discovery_or_index
S082,https://www.oilprice.com/search/tab/articles/Strait%20of%20Hormuz%20Iran%20US%20strikes,OilPrice search on Strait of Hormuz,OilPrice,market_news,energy_market,discovery_or_index
S083,https://www.spglobal.com/commodityinsights/en/search?q=Iran%20US%20strikes%20oil%20Hormuz,S&P Commodity Insights search on oil and Hormuz,S&P Global,market_news,energy_market,discovery_or_index
S084,https://www.hellenicshippingnews.com/?s=Iran+US+strikes+Hormuz,Hellenic Shipping News search on Hormuz,Hellenic Shipping News,market_news,shipping,substantive_article_or_document
S085,https://www.tradewindsnews.com/search?q=Iran%20US%20strikes%20Hormuz,TradeWinds search on Iran Hormuz shipping,TradeWinds,market_news,shipping,discovery_or_index
S086,https://www.maritime-executive.com/search?q=Iran%20US%20strikes%20Hormuz,Maritime Executive search on Iran Hormuz,Maritime Executive,market_news,shipping,discovery_or_index
S087,https://www.iata.org/en/search/?search=Iran%20US%20strikes%20airspace,IATA search on Iran U.S. strikes and airspace,IATA,aviation,aviation,discovery_or_index
S088,https://www.flightglobal.com/search?q=Iran%20US%20strikes%20airspace,FlightGlobal search on Iran airspace,FlightGlobal,aviation,aviation,discovery_or_index
S089,https://www.eia.gov/search/?q=Strait%20of%20Hormuz%20Iran,EIA search on Strait of Hormuz,EIA,market_reference,energy_market,discovery_or_index
S090,https://www.iea.org/search?q=Iran%20oil%20Strait%20of%20Hormuz,IEA search on Iran oil and Hormuz,IEA,market_reference,energy_market,discovery_or_index
S091,https://en.wikipedia.org/wiki/2025_United_States_strikes_on_Iranian_nuclear_sites,Wikipedia page on 2025 U.S. strikes,Wikipedia,reference,background,reference_background
S092,https://en.wikipedia.org/wiki/Iran%E2%80%93Israel_war,Wikipedia page on Iran-Israel war,Wikipedia,reference,background,reference_background
S093,https://en.wikipedia.org/wiki/Fordow_Fuel_Enrichment_Plant,Wikipedia page on Fordow facility,Wikipedia,reference,background,reference_background
S094,https://en.wikipedia.org/wiki/Natanz_Nuclear_Facility,Wikipedia page on Natanz facility,Wikipedia,reference,background,reference_background
S095,https://en.wikipedia.org/wiki/Isfahan_Nuclear_Technology_Center,Wikipedia page on Isfahan nuclear center,Wikipedia,reference,background,reference_background
S096,https://en.wikipedia.org/wiki/Al_Udeid_Air_Base,Wikipedia page on Al Udeid Air Base,Wikipedia,reference,background,reference_background
S097,https://en.wikipedia.org/wiki/Strait_of_Hormuz,Wikipedia page on Strait of Hormuz,Wikipedia,reference,background,reference_background
S098,https://en.wikipedia.org/wiki/International_Atomic_Energy_Agency,Wikipedia page on IAEA,Wikipedia,reference,background,reference_background
S099,https://en.wikipedia.org/wiki/Nuclear_program_of_Iran,Wikipedia page on Iran nuclear program,Wikipedia,reference,background,reference_background
S100,https://en.wikipedia.org/wiki/Iran%E2%80%93United_States_relations,Wikipedia page on Iran-U.S. relations,Wikipedia,reference,background,reference_background
