claim_id,meeting_date,quantifier,minutes_sentence
20200129-15,2020-01-29,several,"Nevertheless, in view of the inherent variability of inflation, several participants judged that there could be some benefit in communicating the inflation objective with a symmetric range around the point target."
20200129-16,2020-01-29,a few,"In addition, a few participants suggested that an inflation range could convey the uncertainty associated with the available array of inflation measures or that the Committee’s communications could more explicitly reference other measures of inflation."
20200129-17,2020-01-29,several,"Several participants also stated that employing an asymmetric operational range for a time—with 2 percent being at or near the lower end of that range—while still maintaining the longer-run target of 2 percent could help communicate that the Committee intended inflation to average 2 percent over time, which in turn could help keep longer-run inflation expectations at levels consistent with its objective."
20200129-18,2020-01-29,some,"Some participants noted the upbeat tone of consumer surveys, and a few commented that their District contacts had reported solid retail sales during the holiday shopping season."
20200129-19,2020-01-29,many,"In addition, many participants were encouraged by the significant pickup since last summer in residential investment, a development that reflected, in part, the effects of lower mortgage rates."
20200129-20,2020-01-29,many,"Many participants expressed the view that these developments might boost business confidence or raise export demand, which would help strengthen or at least stabilize business investment."
20200129-21,2020-01-29,a few,A few participants remarked that contacts in their Districts had noted that business sentiment was brighter or that companies were intending to expand their capital expenditures this year.
20200129-22,2020-01-29,a couple of,"A couple of participants remarked that activity in the energy sector continued to be weak, and a few noted that financial conditions in the agricultural sector would likely remain challenging for many despite farm subsidies from the federal government and recent optimism surrounding trade prospects."
20200129-23,2020-01-29,several,"Business contacts in many Districts indicated continued strong labor demand, with several participants mentioning that contacts reported difficulties in finding qualified workers or that observed wage growth might currently understate the degree of tightness in the labor market."
20200129-24,2020-01-29,a number of,"However, a number of participants indicated that aggregate measures of nominal wages continued to rise at a moderate pace broadly in line with productivity growth and the rate of inflation."
20200129-25,2020-01-29,several,"Several participants commented on potential reasons for the absence of stronger broad-based wage pressures, including technological changes that could substitute for labor, increased willingness of employees to forgo wage gains for greater job stability, adjustments in nonwage portions of compensation packages, and the possibility that the labor market was not as tight as the historically low unemployment rate would suggest."
20200129-26,2020-01-29,many,"Many participants pointed to the strong performance of labor force participation despite the downward pressures associated with an aging population, and several raised the possibility that there was some room for labor force participation to rise further."
20200129-27,2020-01-29,a few,"A few participants expressed less confidence in this outlook for inflation and commented that inflation had averaged less than 2 percent over the past several years even as resource utilization had increased, or pointed to downward pressures from global or technology-related factors that could continue to suppress inflation."
20200129-28,2020-01-29,a couple of,"A couple of participants, however, noted that some alternative inflation indicators, including trimmed mean measures, suggested that there had been a modest step-up in underlying inflation during 2019 or that underlying inflation could already be at a level consistent with the Committee’s goal."
20200129-29,2020-01-29,several,"Nonetheless, several participants observed that equity, corporate debt, and CRE valuations were elevated and drew attention to high levels of corporate indebtedness and weak underwriting standards in leveraged loan markets."
20200129-30,2020-01-29,some,"Some participants expressed the concern that financial imbalances—including overvaluation and excessive indebtedness— could amplify an adverse shock to the economy, that the current conditions of low interest rates and labor market tightness could increase risks to financial stability, or that cyber attacks could affect the U.S. financial system."
20200129-31,2020-01-29,several,Several participants noted that planned increases in dividend payouts by large banks and the associated decline in capital buffers might leave those banks with less capacity to weather adverse shocks—which could have negative implications for the economy—or that lower bank capital ratios could be associated with greater tail risks to GDP growth.
20200129-32,2020-01-29,several,Several participants noted that inflation returning to 2 percent would help ensure that longer-term inflation expectations remained consistent with the Committee’s longer-run inflation objective.
20200129-33,2020-01-29,a few,A few participants stressed that the Committee should be more explicit about the need to achieve its inflation goal on a sustained basis.
20200129-34,2020-01-29,several,Several participants suggested that inflation modestly exceeding 2 percent for a period would be consistent with the achievement of the Committee’s longer-run inflation objective and that such mild overshooting might underscore the symmetry of that objective.
20200129-35,2020-01-29,a few,"With regard to the Committee’s maximum employment objective, a few participants observed that the actual level of employment might still be below maximum employment and that maintaining the present monetary policy stance would allow the economy to achieve that maximum level."
20200129-36,2020-01-29,many,"Many participants stressed that, as reserves approached durably ample levels, the need for sizable Treasury bill purchases and repo operations would diminish and that such operations could be gradually scaled back or phased out."
20200129-37,2020-01-29,several,"Several participants suggested that the Committee should resume before long its discussion of the role that repo operations might play in an ample-reserves regime, including the possible creation of a standing repo facility."
20200315-01,2020-03-15,many,Many participants had repeatedly downgraded their outlook of late in response to the rapidly evolving situation.
20200315-02,2020-03-15,several,Several participants emphasized concern about the capacity of the health care system in the current situation and welcomed measures taken to prevent the system’s overall capacity from being exceeded.
20200315-03,2020-03-15,several,"Several participants emphasized that the temporary nature of the shock to economic activity, the fact that the shock arose in the nonfinancial sector, and the healthy state of the U.S. banking system all implied that the current situation was not directly comparable with the previous decade’s financial crisis and it need not be followed by negative effects on economic activity as long-lasting as those associated with that crisis."
20200315-04,2020-03-15,many,Many participants pointed to other dislocations in funding markets that could impede financial intermediation to households and businesses.
20200315-05,2020-03-15,most,"In their consideration of monetary policy at this meeting, most participants judged that it would be appropriate to lower the target range for the federal funds rate by 100 basis points, to 0 to ¼ percent."
20200315-06,2020-03-15,a few,A few participants preferred a 50 basis point cut at this meeting and noted that such a decision would provide support to economic activity in the face of the anticipated effects of the coronavirus.
20200315-07,2020-03-15,some,Some participants noted that it was important to stress in communications that the primary purpose of these asset purchases was to support the smooth functioning of Treasury and agency MBS markets rather than to provide further monetary policy accommodation by pushing down longer-term yields.
20200315-08,2020-03-15,a couple of,"A couple of participants noted that because some of the purchases would be at longer maturities, the purchases could provide some accommodation by lowering longer-term yields."
20200315-09,2020-03-15,several,Several participants noted that it would be important to communicate clearly and consistently about the rationale for the policy decisions taken at this meeting.
20200315-10,2020-03-15,some,Some participants remarked that the Committee’s policy actions regarding the target range and balance sheet could be interpreted as conveying negative news about the economic outlook.
20200315-11,2020-03-15,a few,"A few participants also remarked that lowering the target range to the ELB could increase the likelihood that some market interest rates would turn negative, or foster investor expectations of negative policy rates."
20200315-12,2020-03-15,several,"Additionally, several participants remarked that the public might view the ability of the Committee to provide further monetary policy accommodation as being limited."
20200315-13,2020-03-15,some,"However, some participants noted that the Committee would still be able to provide monetary policy accommodation even after lowering the target range for the federal funds rate to the ELB."
20200315-14,2020-03-15,a few,"A few participants commented that stigma associated with the discount window may still be present or that further action, such as a relaunch of the Term Auction Facility, might be needed to encourage banks to take up additional funding."
20200315-15,2020-03-15,several,"Several participants commented that banks should be discouraged from repurchasing shares from, or paying dividends to, their equity holders in the wake of the proposed measures."
20200429-01,2020-04-29,some,"Some participants expressed concern that low energy prices, if they were to persist, had the potential to create a wave of bankruptcies in the energy sector."
20200429-02,2020-04-29,a number of,"On the one hand, a number of participants judged that there was a substantial likelihood of additional waves of outbreak in the near or medium term."
20200429-03,2020-04-29,a few,"A few participants noted that higher levels of government indebtedness, which would be exacerbated by fiscal expenditures that were necessary to combat the economic effects of the pandemic, could put downward pressure on growth in aggregate potential output."
20200429-04,2020-04-29,a number of,A number of participants commented on potential risks to financial stability.
20200429-05,2020-04-29,a number of,"A number of participants emphasized that regulators should encourage banks to prepare for possible downside scenarios by further limiting payouts to shareholders, thereby preserving loss-absorbing capital."
20200429-06,2020-04-29,a few,A few participants stressed that the activities of some nonbank financial institutions presented vulnerabilities to the financial system that could worsen in the event of a protracted economic downturn and that these institutions and activities should be monitored closely.
20200429-07,2020-04-29,several,Several participants commented further that it would be important for the Federal Reserve to remain ready to adjust these emergency lending facilities as appropriate based on its monitoring of financial market functioning and credit conditions.
20200429-08,2020-04-29,some,Some participants commented that the Committee could make its forward guidance for the path for the federal funds rate more explicit.
20200429-09,2020-04-29,several,"Several participants observed that the completion, most likely later this year, of the monetary policy framework review, together with the announcement of the conclusions arising from the review, would help further clarify the Committee’s intentions with respect to its future monetary policy actions."
20200429-10,2020-04-29,several,"Several participants also remarked that the Committee may need to provide further clarity regarding its intentions for purchases of Treasury securities and agency MBS; these participants noted that, without further communication on this matter, uncertainty about the evolution of the Federal Reserve’s asset purchases could increase over time."
20200429-11,2020-04-29,several,Several participants remarked that a program of ongoing Treasury securities purchases could be used in the future to keep longer-term yields low.
20200429-12,2020-04-29,a few,A few participants also noted that the balance sheet could be used to reinforce the Committee’s forward guidance regarding the path of the federal funds rate through Federal Reserve purchases of Treasury securities on a scale necessary to keep Treasury yields at shortto medium-term maturities capped at specified levels for a period of time.
20200610-01,2020-06-10,various,Various participants noted that the economy is likely to need support from highly accommodative monetary policy for some time and that it will be important in coming months for the Committee to provide greater clarity regarding the likely path of the federal funds rate and asset purchases.
20200610-02,2020-06-10,a number of,A number of participants spoke favorably of forward guidance tied to inflation outcomes that could possibly entail a modest temporary overshooting of the Committee’s longer-run inflation goal but where inflation fluctuations would be centered on 2 percent over time.
20200610-03,2020-06-10,a couple of,"A couple of participants signaled a preference for forward guidance tied to the unemployment rate, noting that it would be more credible to focus on labor market outcomes that have been achieved in the recent past or that—given how high the unemployment rate currently is—such guidance would clearly signal a high degree of accommodation for an extended period."
20200610-04,2020-06-10,a couple of,"Regardless of the specific form of forward guidance, a couple of participants expressed the concern that policies that effectively committed the Committee to maintaining very low interest rates for a long time could ultimately pose significant risks to financial stability."
20200610-05,2020-06-10,several,Several participants remarked that declines in the neutral rate of interest and in term premiums over the past decade and prevailing low levels of longer-term yields would likely act as constraints on the effectiveness of asset purchases in the current environment and noted that these constraints were not as acute when the Committee implemented such programs in the wake of the Global Financial Crisis.
20200610-06,2020-06-10,a few,"A few participants questioned the desirability of large-scale asset purchases following the current purchases to support market functioning, noting that they likely would lead to a further considerable expansion of the Federal Reserve’s balance sheet or have potentially adverse implications for financial stability."
20200610-07,2020-06-10,many,"Nonetheless, many participants remarked that, as long as the Committee’s forward guidance remained credible on its own, it was not clear that there would be a need for the Committee to reinforce its forward guidance with the adoption of a YCT policy."
20200610-08,2020-06-10,many,"In addition, participants raised a number of concerns related to the implementation of YCT policies, including how to maintain control of the size and composition of the Federal Reserve’s balance sheet, particularly as the time to exit from such policies nears; how to combine YCT policies—which at least in the Australian case incorporate aspects of datebased forward guidance—with the types of outcomebased forward guidance that many participants favored; how to mitigate the risks that YCT policies pose to central bank independence; and how to assess the effects of these policies on financial market functioning and the size and composition of private-sector balance sheets."
20200610-09,2020-06-10,a number of,"A number of participants commented on additional challenges associated with YCT policies focused on the longer portion of the yield curve, including how these policies might interact with large-scale asset purchase Minutes of the Meeting of June 9–10, 2020 programs and the extent of additional accommodation they would provide in the current environment of very low interest rates."
20200610-10,2020-06-10,a couple of,A couple of participants remarked that an appropriately designed YCT policy that focused on the short-to-medium part of the yield curve could serve as a powerful commitment device for the Committee.
20200610-11,2020-06-10,a number of,"A number of participants emphasized that, when assessing the potential roles that different monetary policy tools might play to support the attainment of the Committee’s goals, it was important to think about how various policy tools could be used in coordination as part of the Committee’s overall strategy to achieve its dualmandate objectives."
20200610-12,2020-06-10,various,"In addition, various participants noted that clear communications with the public are central to the efficacy of all policy tools and that, therefore, the Committee should complete its monetary policy framework review in the near term, including revising the Statement on Longer-Run Goals and Monetary Policy Strategy."
20200610-13,2020-06-10,some,"Some participants also noted reports of firms stating that they have had some challenges in rehiring employees, in part related to temporary enhanced unemployment insurance benefits."
20200610-14,2020-06-10,several,"Several participants anticipated continued low drilling activity, at least until excess inventories were reduced later this year, and expressed concern that a wave of bankruptcies in the energy sector could be forthcoming."
20200610-15,2020-06-10,some,"Observing that inflation had been running somewhat below the Committee’s 2 percent longer-run objective before the coronavirus outbreak, some participants noted a risk that long-term inflation expectations might deteriorate."
20200610-16,2020-06-10,a number of,"A number of participants judged that there was a substantial likelihood of additional waves of outbreaks, which, in some scenarios, could result in further economic disruptions and possibly a protracted period of reduced economic activity."
20200610-17,2020-06-10,several,Several participants commented further that it would be important for the Federal Reserve to remain ready to adjust these emergency lending facilities as appropriate based on its monitoring of financial market functioning and credit conditions.
20200610-18,2020-06-10,most,"In particular, most participants commented that the Committee should communicate a more explicit form of forward guidance for the path of the federal funds rate and provide more clarity regarding purchases of Treasury securities and agency MBS as more information about the trajectory of the economy becomes available."
20200610-19,2020-06-10,a number of,A number of participants judged that it was important for forward guidance and asset purchases to be structured in a way that provides the accommodation necessary to support rapid economic recovery and fosters a durable return of inflation and inflation expectations to levels consistent with the Committee’s symmetric 2 percent objective.
20200610-20,2020-06-10,many,"Many participants remarked that the completion of the monetary policy framework review, together with the announcement of the conclusions arising from the review and the release of a revised Committee statement on its goals and policy strategy, would help clarify further how the Committee intends to conduct monetary policy going forward."
20200729-01,2020-07-29,several,Several participants relayed examples of some operational difficulties their business contacts were reportedly facing in the current environment.
20200729-02,2020-07-29,some,"Furthermore, some participants noted that small businesses were under significant strain."
20200729-03,2020-07-29,a number of,"A number of participants observed that, with some provisions of the CARES Act set to expire shortly against the backdrop of a still-weak labor market, additional fiscal aid would likely be important for supporting vulnerable families, and thus the economy more broadly, in the period ahead."
20200729-04,2020-07-29,several,Several participants also commented on ongoing challenges facing the energy or farm sector despite recent improvements.
20200729-05,2020-07-29,many,"Regarding the labor market, many participants commented that the pace of employment gains, which was quite strong in May and June, had likely slowed."
20200729-06,2020-07-29,a few,"Against this backdrop, a few participants noted a risk that longer-term inflation expectations might move below levels consistent with the Committee’s symmetric 2 percent objective."
20200729-07,2020-07-29,several,Several participants noted potential longer-run effects of the pandemic associated with possible restructuring in some sectors of the economy that could slow the growth of the economy’s productive capacity for some time.
20200729-08,2020-07-29,a number of,A number of participants commented on various potential risks to financial stability.
20200729-09,2020-07-29,a few,"There was general agreement that these institutions, activities, and markets should be monitored closely, and a few participants noted that improved data would be helpful for doing so."
20200729-10,2020-07-29,several,"Several participants observed that the Federal Reserve had recently taken steps to help ensure that banks remain resilient through the pandemic, including by conducting additional sensitivity analysis in conjunction with the most recent bank stress tests and imposing temporary restrictions on shareholder payouts to preserve banks’ capital."
20200729-11,2020-07-29,a couple of,"A couple of participants noted that they believed that restrictions on shareholder payouts should be extended, while another judged that such a step would be premature."
20200729-12,2020-07-29,several,"Noting the increase in uncertainty about the economic outlook over the intermeeting period, several participants suggested that additional accommodation could be required to promote economic recovery and return inflation to the Committee’s 2 percent objective."
20200729-13,2020-07-29,some,"Some participants observed that, due to the nature of the shock that the U.S. economy was experiencing, strong fiscal policy support would be necessary to encourage expeditious improvements in labor market conditions."
20200729-14,2020-07-29,a number of,"With regard to the outlook for monetary policy beyond this meeting, a number of participants noted that providing greater clarity regarding the likely path of the target range for the federal funds rate would be appropriate at some point."
20200729-15,2020-07-29,various,"In the context of outcome-based forward guidance, various participants mentioned using thresholds calibrated to inflation outcomes, unemployment rate outcomes, or combinations of the two, as well as combinations with calendar-based guidance."
20200729-16,2020-07-29,many,"In addition, many participants commented that it might become appropriate to frame communications regarding the Committee’s ongoing asset purchases more in terms of their role in fostering accommodative financial conditions and supporting economic recovery."
20200729-17,2020-07-29,a number of,"More broadly, in discussing the policy outlook, a number of participants observed that completing a revised Statement on Longer-Run Goals and Monetary Policy Strategy would be very helpful in providing an overarching framework that would help guide the Committee’s future policy actions and communications."
20200729-18,2020-07-29,a majority of,A majority of participants commented on yield caps and targets—approaches that cap or target interest rates along the yield curve—as a monetary policy tool.
20200729-19,2020-07-29,many,"In light of these concerns, many participants judged that yield caps and targets were not warranted in the current environment but should remain an option that the Committee could reassess in the future if circumstances changed markedly."
20200729-20,2020-07-29,a couple of,"A couple of participants remarked on the value of yield caps and targets as a means of reinforcing forward guidance on asset purchases, thereby providing insurance against adverse movements in market expectations regarding the path of monetary policy, and as a tool that could help limit the amount of asset purchases that the Committee would need to make in pursuing its dual-mandate goals."
20200916-01,2020-09-16,most,"Prior fiscal policy actions were seen as having supported the ability and willingness of households to spend, although most participants expressed concern about the expiration of the enhanced unemployment insurance benefits from the CARES Act (Coronavirus Aid, Relief, and Economic Security Act) and judged that additional fiscal relief would help sustain the recovery in household spending."
20200916-02,2020-09-16,many,"Indeed, many participants noted that their economic outlook assumed additional fiscal support and that if future fiscal support was significantly smaller or arrived significantly later than they expected, the pace of the recovery could be slower than anticipated."
20200916-03,2020-09-16,a few,A few participants raised the possibility that the unwinding of the large pool of household savings accumulated during the pandemic could provide greater-than-anticipated momentum to consumption going forward.
20200916-04,2020-09-16,a number of,A number of participants judged that low interest rates were supporting business investment.
20200916-05,2020-09-16,some,Some participants noted that the majority of gains in employment so far reflected workers on temporary layoffs returning to work.
20200916-06,2020-09-16,a number of,"Participants viewed fiscal support from the CARES Act as having been very important in bolstering the financial situations of millions of families, and a number of participants judged that the absence of further fiscal support would exacerbate economic hardships in minority and lower-income communities."
20200916-07,2020-09-16,several,"In addition, several participants observed that the effects of the pandemic were disrupting the supply of labor because of the need to care for children, many of whom were attending school virtually from home."
20200916-08,2020-09-16,a number of,"While the outlook for inflation was viewed as highly uncertain, a number of participants projected that inflation would run below the Committee’s 2 percent longer-run objective for a significant period before moving moderately above 2 percent for some time—consistent with the Committee’s revised consensus statement."
20200916-09,2020-09-16,several,"Furthermore, several participants noted the stress that small- and medium-sized banks could face from defaults on loans to small businesses and CRE properties if people continued to withdraw from travel and shopping activities."
20200916-10,2020-09-16,a couple of,"Additionally, a couple of participants indicated that highly accommodative financial market conditions could lead to excessive risk-taking and to a buildup of financial imbalances."
20200916-11,2020-09-16,most,"Most participants raised the concern that fiscal support so far for households, businesses, and state and local governments might not provide sufficient relief to these sectors."
20200916-12,2020-09-16,a couple of,"A couple of participants saw an upside risk that further fiscal stimulus could be larger than anticipated, though it might come later than had been expected."
20200916-13,2020-09-16,several,"Several participants raised concerns regarding the longer-run effects of the pandemic, including how it could lead to a restructuring in some sectors of the economy that could slow employment growth or could accelerate technological disruption that was likely limiting the pricing power of firms."
20200916-14,2020-09-16,most,Most participants supported providing more explicit outcome-based forward guidance for the federal funds rate that included establishing criteria for lifting the federal funds rate above the ELB in terms of the paths for employment or inflation or both.
20200916-15,2020-09-16,a couple of,"A couple of participants preferred even stronger, and less qualified, outcome-based forward guidance that they judged would more clearly convey the Committee’s commitment to its objectives and to the strategic approach that was articulated in the revised consensus statement."
20200916-16,2020-09-16,several,"Several participants noted that while they agreed it was appropriate to incorporate key elements of the consensus statement into the postmeeting statement, they preferred to retain forward guidance similar to that provided in recent FOMC statements."
20200916-17,2020-09-16,some,Some participants also noted that in future meetings it would be appropriate to further assess and communicate how the Committee’s asset purchase program could best support the achievement of the Committee’s maximumemployment and price-stability goals.
20201105-01,2020-11-05,many,"With market functioning seen as having largely recovered, many participants indicated that the role of asset purchases had shifted more toward fostering accommodative financial conditions for households and businesses to support the Committee’s employment and inflation goals."
20201105-02,2020-11-05,a few,"A few participants indicated that asset purchases could also help guard against undesirable upward pressure on longer-term rates that could arise, for example, from higher-than-expected Treasury debt issuance."
20201105-03,2020-11-05,several,"Several participants noted the possibility that there may be limits to the amount of additional accommodation that could be provided through increases in the Federal Reserve’s asset holdings in light of the low level of longer-term yields, and they expressed concerns that a significant expansion in asset holdings could have unintended consequences."
20201105-04,2020-11-05,several,"Pointing to the recently announced change in the Bank of Canada’s asset purchase program, several participants judged that the Committee could maintain its current degree of accommodation by lengthening the maturity of the Committee’s Treasury purchases while reducing the pace of purchases somewhat."
20201105-05,2020-11-05,a few,A few participants expressed concern that maintaining the current pace of agency MBS purchases could contribute to potential valuation pressures in housing markets.
20201105-06,2020-11-05,most,Most participants judged that the Committee should update this guidance at some point and implement qualitative outcome-based guidance that links the horizon over which the Committee anticipates it would be conducting asset purchases to economic conditions.
20201105-07,2020-11-05,a few,A few participants were hesitant to make changes in the near term to the guidance for asset purchases and pointed to considerable uncertainty about the economic outlook and the appropriate use of balance sheet policies given that uncertainty.
20201105-08,2020-11-05,most,Most participants judged that the guidance for asset purchases should imply that increases in the Committee’s securities holdings would taper and cease sometime before the Committee would begin to raise the target range for the federal funds rate.
20201105-09,2020-11-05,a number of,A number of participants highlighted the view that after net purchases cease there would likely be a period of time in which maturing assets would be reinvested to roughly maintain the size of the Federal Reserve’s securities holdings.
20201105-10,2020-11-05,a few,"A few participants raised concerns about the possibility that much higher levels of reserves might create pressure on banks’ balance sheets, including on regulatory ratios, or could potentially put undue downward pressure on money market rates."
20201105-11,2020-11-05,most,Most participants judged that the Federal Reserve had effective tools to address these circumstances.
20201105-12,2020-11-05,some,"Some participants noted that, if needed, the Federal Reserve could consider various steps to manage the levels of short-term interest rates and the quantity of reserves, such as adjusting administered rates, expanding the overnight reverse repurchase agreement program, or implementing a maturity extension program."
20201105-13,2020-11-05,a few,A few participants noted that households’ balance sheets generally appeared healthy and an unwinding of the large pool of household savings accumulated during the pandemic could provide greater-than-anticipated momentum to consumer spending over coming months.
20201105-14,2020-11-05,several,"However, several participants expressed concern that, in the absence of additional fiscal support, lower- and moderateincome households might need to reduce their spending sharply when their savings were exhausted."
20201105-15,2020-11-05,a few,"A few participants expected the momentum in investment to extend into next year as the economic recovery continued, while a couple of other participants noted that many businesses in their Districts were deferring longer-term commitments because of heighted uncertainty about the economic outlook."
20201105-16,2020-11-05,several,"Several participants noted that the decline in the unemployment rate in recent months had been accompanied by a fall in the labor force participation rate, particularly among those with a high school education or lower and among women."
20201105-17,2020-11-05,most,Most participants commented that the pace of labor market improvement was likely to moderate going forward.
20201105-18,2020-11-05,many,"Many participants observed that high rates of job losses had been especially prevalent among lower-wage workers, particularly in the services sector, and among women, African Americans, and Hispanics."
20201105-19,2020-11-05,a few,"A few participants noted that these trends, if slow to reverse, could exacerbate racial, gender, and other social-economic disparities."
20201105-20,2020-11-05,several,Several participants commented on the unusually large relative price movements caused by the pandemic and the considerable uncertainty as to how long these price changes would persist.
20201105-21,2020-11-05,a few,"A few participants noted that the financing conditions for small businesses were especially worrisome, as the PPP had ended and the prospect for additional fiscal support remained uncertain."
20201105-22,2020-11-05,a few,"The majority of participants also saw the risk that current and expected fiscal support for households, businesses, and state and local governments might not be sufficient to sustain activity levels in those sectors, while a few participants noted that additional fiscal stimulus that was larger than anticipated could be an upside risk."
20201105-23,2020-11-05,some,Some participants commented that the recent surge in virus cases in Europe and the reimposition of restrictions there could lead to a slowdown in economic activity in the euro area and have negative spillover effects on the U.S. recovery.
20201105-24,2020-11-05,some,"Some participants raised concerns regarding the longer-run effects of the pandemic, including sectoral restructurings that could slow employment growth or an acceleration of technological disruptions that could be limiting the pricing power of some firms."
20201105-25,2020-11-05,a number of,A number of participants commented on various potential risks to financial stability.
20201105-26,2020-11-05,a few,"A few participants noted that the banking system showed considerable resilience through the end of the third quarter, and a few observed that this resilience partly reflected stronger-than-expected balance sheets of their customers, with delinquency rates declining or showing only moderate increases."
20201105-27,2020-11-05,several,"Several participants emphasized the need to ensure that banks continue to maintain strong capital levels, as lower levels of capital are typically associated with tighter credit availability from banks."
20201105-28,2020-11-05,several,Several participants commented on the vulnerabilities witnessed during the March selloff in the Treasury market.
20201105-29,2020-11-05,a couple of,"A couple of participants expressed concerns that a prolonged period of low interest rates and highly accommodative financial market conditions could lead to excessive risk-taking, which in turn could result in elevated firm bankruptcies and significant employment losses in the next economic downturn."
20201105-30,2020-11-05,a few,A few participants noted that climate change poses important challenges to financial stability and welcomed analysis of climate change as both a source of shocks and an underlying vulnerability.
20201105-31,2020-11-05,a couple of,A couple of participants commented that the actions taken by the Federal Reserve to support the economy and achieve its mandated goals also supported financial stability.
20201105-32,2020-11-05,several,"Relatedly, several participants emphasized the important roles various section 13(3) facilities played in restoring financial market confidence and supporting financial stability; they noted that these facilities were still serving as an important backstop in financial markets."
20201105-33,2020-11-05,a few,A few participants noted that it was important to extend them beyond year-end.
20201105-34,2020-11-05,several,Several participants noted that they were encouraged by evidence that suggested that market participants’ expectations of the economic conditions that would likely prevail at the time of liftoff seemed broadly consistent with the Committee’s forward guidance and revised consensus statement.
20201105-35,2020-11-05,a few,Participants viewed the resurgence of COVID-19 cases in the United States and abroad as a downside risk to the recovery; a few participants noted that diminished odds for further significant fiscal support also increased downside risks and added to uncertainty about the economic outlook.
20201105-36,2020-11-05,many,Many participants judged that the Committee might want to enhance its guidance for asset purchases fairly soon.
20201105-37,2020-11-05,most,Most participants favored moving to qualitative outcome-based guidance for asset purchases that links the horizon over which the Committee anticipates it would be conducting asset purchases to economic conditions.
20201105-38,2020-11-05,a few,A few participants were hesitant to make changes in the near term to the guidance for asset purchases and pointed to considerable uncertainty about the economic outlook and the appropriate use of balance sheet policies given that uncertainty.
20201105-39,2020-11-05,most,"Most of the participants who commented noted that releasing all SEP materials at the time of the postmeeting statement would provide greater context for the policy decision, highlight the risk-management factors relevant for the decision, or further emphasize the degree of uncertainty around participants’ modal projections."
20201105-40,2020-11-05,most,Most participants who commented suggested that it would be useful to continue thinking about options for refining the SEP.
20201216-01,2020-12-16,several,"Several participants pointed out that readings on high-frequency economic indicators, such as individual mobility indexes and online restaurant reservation data, might already be registering the effects of the recent rise in virus cases."
20201216-02,2020-12-16,various,"Various participants noted that low-income households were particularly hard hit by the effects of the resurgent virus, and that—with the looming expiration of the expanded unemployment benefits, eviction moratoria, and loan forbearance programs—their situations could deteriorate significantly if additional relief and support did not materialize."
20201216-03,2020-12-16,a couple of,A couple of participants remarked that the very low levels of inventories would likely be a factor supporting increases in production as demand continued to recover.
20201216-04,2020-12-16,a number of,"A number of participants noted that many small businesses were in especially vulnerable positions and that further fiscal policy support would help such businesses weather the ongoing surge in the pandemic, especially over the coming months."
